Compound,Date,Negative,Neutral,Positive,Tweets Ago
0.0,Sat Feb 03 07:55:18 +0000 2018,0.0,1.0,0.0,139
-0.5106,Sat Feb 03 07:50:35 +0000 2018,0.136,0.864,0.0,140
-0.3612,Sat Feb 03 07:50:06 +0000 2018,0.185,0.815,0.0,141
-0.5106,Sat Feb 03 07:46:16 +0000 2018,0.136,0.864,0.0,142
-0.4767,Sat Feb 03 07:46:12 +0000 2018,0.237,0.763,0.0,143
0.0,Sat Feb 03 07:45:33 +0000 2018,0.0,1.0,0.0,144
0.6351,Sat Feb 03 07:45:13 +0000 2018,0.0,0.741,0.259,145
-0.5106,Sat Feb 03 07:44:40 +0000 2018,0.136,0.864,0.0,146
-0.8402,Sat Feb 03 07:44:32 +0000 2018,0.357,0.643,0.0,147
0.0772,Sat Feb 03 07:43:33 +0000 2018,0.0,0.909,0.091,148
0.4003,Sat Feb 03 07:43:01 +0000 2018,0.0,0.876,0.124,149
0.6166,Sat Feb 03 07:42:51 +0000 2018,0.0,0.776,0.224,150
-0.2732,Sat Feb 03 07:42:37 +0000 2018,0.084,0.875,0.042,151
-0.2732,Sat Feb 03 07:42:12 +0000 2018,0.084,0.875,0.042,152
-0.5106,Sat Feb 03 07:41:51 +0000 2018,0.136,0.864,0.0,153
-0.5106,Sat Feb 03 07:40:55 +0000 2018,0.136,0.864,0.0,154
0.0,Sat Feb 03 07:40:12 +0000 2018,0.0,1.0,0.0,155
-0.8402,Sat Feb 03 07:40:03 +0000 2018,0.357,0.643,0.0,156
0.5053,Sat Feb 03 07:40:00 +0000 2018,0.0,0.789,0.211,157
-0.5106,Sat Feb 03 07:37:22 +0000 2018,0.136,0.864,0.0,158
-0.2732,Sat Feb 03 07:36:02 +0000 2018,0.084,0.875,0.042,159
-0.5106,Sat Feb 03 07:35:58 +0000 2018,0.136,0.864,0.0,160
-0.5106,Sat Feb 03 07:35:10 +0000 2018,0.268,0.732,0.0,161
0.5242,Sat Feb 03 07:34:57 +0000 2018,0.0,0.861,0.139,162
