Compound,Date,Negative,Neutral,Positive,Tweets Ago
0.0,Sat Feb 03 09:12:50 +0000 2018,0.0,1.0,0.0,126
-0.8828,Sat Feb 03 09:12:46 +0000 2018,0.399,0.601,0.0,127
0.0,Sat Feb 03 09:12:18 +0000 2018,0.0,1.0,0.0,128
0.0,Sat Feb 03 09:12:17 +0000 2018,0.0,1.0,0.0,129
-0.296,Sat Feb 03 09:12:05 +0000 2018,0.095,0.905,0.0,130
0.0,Sat Feb 03 09:12:05 +0000 2018,0.0,1.0,0.0,131
0.0,Sat Feb 03 09:12:01 +0000 2018,0.0,1.0,0.0,132
0.296,Sat Feb 03 09:11:56 +0000 2018,0.0,0.855,0.145,133
-0.4023,Sat Feb 03 09:11:47 +0000 2018,0.109,0.891,0.0,134
0.5267,Sat Feb 03 09:11:35 +0000 2018,0.126,0.629,0.245,135
-0.4939,Sat Feb 03 09:11:27 +0000 2018,0.237,0.645,0.118,136
0.2411,Sat Feb 03 09:11:03 +0000 2018,0.127,0.634,0.238,137
0.2411,Sat Feb 03 09:11:03 +0000 2018,0.127,0.634,0.238,138
-0.1027,Sat Feb 03 09:10:50 +0000 2018,0.062,0.938,0.0,139
0.296,Sat Feb 03 09:10:49 +0000 2018,0.094,0.769,0.136,140
0.0,Sat Feb 03 09:10:36 +0000 2018,0.0,1.0,0.0,141
0.296,Sat Feb 03 09:09:41 +0000 2018,0.094,0.769,0.136,142
0.4199,Sat Feb 03 09:09:39 +0000 2018,0.0,0.642,0.358,143
0.7003,Sat Feb 03 09:09:35 +0000 2018,0.138,0.577,0.285,144
-0.5209,Sat Feb 03 09:09:32 +0000 2018,0.133,0.867,0.0,145
0.3182,Sat Feb 03 09:09:25 +0000 2018,0.0,0.753,0.247,146
-0.4767,Sat Feb 03 09:09:24 +0000 2018,0.129,0.871,0.0,147
0.296,Sat Feb 03 09:09:12 +0000 2018,0.094,0.769,0.136,148
-0.296,Sat Feb 03 09:09:07 +0000 2018,0.095,0.905,0.0,149
0.5719,Sat Feb 03 09:08:54 +0000 2018,0.0,0.778,0.222,150
0.2732,Sat Feb 03 09:08:50 +0000 2018,0.0,0.704,0.296,151
-0.6249,Sat Feb 03 09:08:41 +0000 2018,0.219,0.707,0.074,152
0.5093,Sat Feb 03 09:08:41 +0000 2018,0.0,0.798,0.202,153
0.2732,Sat Feb 03 09:08:16 +0000 2018,0.0,0.87,0.13,154
0.296,Sat Feb 03 09:08:14 +0000 2018,0.094,0.769,0.136,155
0.0,Sat Feb 03 09:08:14 +0000 2018,0.0,1.0,0.0,156
0.34,Sat Feb 03 09:08:08 +0000 2018,0.0,0.902,0.098,157
0.0,Sat Feb 03 09:08:07 +0000 2018,0.0,1.0,0.0,158
0.8356,Sat Feb 03 09:07:58 +0000 2018,0.0,0.529,0.471,159
0.296,Sat Feb 03 09:07:50 +0000 2018,0.094,0.769,0.136,160
-0.4466,Sat Feb 03 09:07:47 +0000 2018,0.134,0.866,0.0,161
-0.471,Sat Feb 03 09:07:30 +0000 2018,0.334,0.479,0.187,162
-0.2732,Sat Feb 03 09:07:19 +0000 2018,0.104,0.896,0.0,163
0.296,Sat Feb 03 09:06:57 +0000 2018,0.094,0.769,0.136,164
0.1779,Sat Feb 03 09:06:53 +0000 2018,0.088,0.793,0.119,165
0.0,Sat Feb 03 09:06:51 +0000 2018,0.0,1.0,0.0,166
0.5267,Sat Feb 03 09:06:47 +0000 2018,0.126,0.629,0.245,167
-0.1779,Sat Feb 03 09:06:46 +0000 2018,0.219,0.647,0.134,168
-0.3612,Sat Feb 03 09:06:44 +0000 2018,0.2,0.8,0.0,169
0.296,Sat Feb 03 09:06:38 +0000 2018,0.094,0.769,0.136,170
0.5267,Sat Feb 03 09:06:29 +0000 2018,0.126,0.629,0.245,171
0.296,Sat Feb 03 09:05:29 +0000 2018,0.094,0.769,0.136,172
0.0,Sat Feb 03 09:04:46 +0000 2018,0.0,1.0,0.0,173
-0.7269,Sat Feb 03 09:04:46 +0000 2018,0.276,0.724,0.0,174
-0.7351,Sat Feb 03 09:04:45 +0000 2018,0.246,0.754,0.0,175
0.296,Sat Feb 03 09:04:41 +0000 2018,0.094,0.769,0.136,176
0.0,Sat Feb 03 09:04:09 +0000 2018,0.0,1.0,0.0,177
0.296,Sat Feb 03 09:03:58 +0000 2018,0.094,0.769,0.136,178
-0.128,Sat Feb 03 09:03:21 +0000 2018,0.124,0.772,0.104,179
-0.296,Sat Feb 03 09:03:12 +0000 2018,0.095,0.905,0.0,180
0.0,Sat Feb 03 09:03:02 +0000 2018,0.0,1.0,0.0,181
0.296,Sat Feb 03 09:02:58 +0000 2018,0.094,0.769,0.136,182
-0.25,Sat Feb 03 09:02:41 +0000 2018,0.083,0.917,0.0,183
-0.128,Sat Feb 03 09:01:44 +0000 2018,0.124,0.772,0.104,184
-0.3612,Sat Feb 03 09:01:42 +0000 2018,0.226,0.774,0.0,185
0.8442,Sat Feb 03 09:01:27 +0000 2018,0.0,0.569,0.431,186
0.296,Sat Feb 03 09:01:20 +0000 2018,0.094,0.769,0.136,187
-0.4767,Sat Feb 03 09:01:05 +0000 2018,0.194,0.806,0.0,188
0.4404,Sat Feb 03 09:00:51 +0000 2018,0.0,0.828,0.172,189
-0.128,Sat Feb 03 09:00:47 +0000 2018,0.124,0.772,0.104,190
0.0,Sat Feb 03 09:00:25 +0000 2018,0.0,1.0,0.0,191
0.3818,Sat Feb 03 09:00:07 +0000 2018,0.0,0.833,0.167,192
-0.296,Sat Feb 03 09:00:04 +0000 2018,0.095,0.905,0.0,193
-0.4767,Sat Feb 03 08:59:50 +0000 2018,0.215,0.785,0.0,194
-0.34,Sat Feb 03 08:59:37 +0000 2018,0.13,0.87,0.0,195
0.8217,Sat Feb 03 08:58:35 +0000 2018,0.0,0.543,0.457,196
-0.296,Sat Feb 03 08:58:29 +0000 2018,0.095,0.905,0.0,197
0.0,Sat Feb 03 08:58:19 +0000 2018,0.0,1.0,0.0,198
0.6249,Sat Feb 03 08:58:08 +0000 2018,0.0,0.797,0.203,199
0.5574,Sat Feb 03 08:57:57 +0000 2018,0.0,0.816,0.184,200
-0.3818,Sat Feb 03 09:18:45 +0000 2018,0.178,0.822,0.0,201
-0.296,Sat Feb 03 09:18:39 +0000 2018,0.095,0.905,0.0,202
-0.5994,Sat Feb 03 09:18:21 +0000 2018,0.189,0.811,0.0,203
-0.296,Sat Feb 03 09:18:15 +0000 2018,0.355,0.645,0.0,204
-0.5267,Sat Feb 03 09:18:05 +0000 2018,0.173,0.827,0.0,205
-0.5267,Sat Feb 03 09:17:42 +0000 2018,0.175,0.825,0.0,206
-0.3182,Sat Feb 03 09:17:38 +0000 2018,0.119,0.881,0.0,207
0.0516,Sat Feb 03 09:17:37 +0000 2018,0.151,0.69,0.159,208
0.0,Sat Feb 03 09:16:45 +0000 2018,0.0,1.0,0.0,209
0.4574,Sat Feb 03 09:16:38 +0000 2018,0.0,0.813,0.187,210
0.3612,Sat Feb 03 09:16:02 +0000 2018,0.0,0.884,0.116,211
-0.3182,Sat Feb 03 09:15:55 +0000 2018,0.113,0.887,0.0,212
0.8591,Sat Feb 03 09:15:45 +0000 2018,0.099,0.546,0.355,213
-0.2263,Sat Feb 03 09:15:08 +0000 2018,0.163,0.707,0.131,214
0.8591,Sat Feb 03 09:14:58 +0000 2018,0.099,0.546,0.355,215
-0.6249,Sat Feb 03 09:14:46 +0000 2018,0.219,0.707,0.074,216
-0.5994,Sat Feb 03 09:14:40 +0000 2018,0.353,0.647,0.0,217
0.296,Sat Feb 03 09:14:04 +0000 2018,0.0,0.864,0.136,218
0.296,Sat Feb 03 09:13:55 +0000 2018,0.094,0.769,0.136,219
0.624,Sat Feb 03 09:13:53 +0000 2018,0.0,0.702,0.298,220
0.0,Sat Feb 03 09:13:22 +0000 2018,0.0,1.0,0.0,221
0.8591,Sat Feb 03 09:13:19 +0000 2018,0.099,0.546,0.355,222
-0.128,Sat Feb 03 09:13:12 +0000 2018,0.124,0.772,0.104,223
0.296,Sat Feb 03 09:12:58 +0000 2018,0.094,0.769,0.136,224
0.8442,Sat Feb 03 09:12:52 +0000 2018,0.0,0.569,0.431,225
0.0,Sat Feb 03 09:12:50 +0000 2018,0.0,1.0,0.0,226
-0.8828,Sat Feb 03 09:12:46 +0000 2018,0.399,0.601,0.0,227
0.0,Sat Feb 03 09:12:18 +0000 2018,0.0,1.0,0.0,228
0.0,Sat Feb 03 09:12:17 +0000 2018,0.0,1.0,0.0,229
-0.296,Sat Feb 03 09:12:05 +0000 2018,0.095,0.905,0.0,230
0.0,Sat Feb 03 09:12:05 +0000 2018,0.0,1.0,0.0,231
0.0,Sat Feb 03 09:12:01 +0000 2018,0.0,1.0,0.0,232
0.296,Sat Feb 03 09:11:56 +0000 2018,0.0,0.855,0.145,233
-0.4023,Sat Feb 03 09:11:47 +0000 2018,0.109,0.891,0.0,234
0.5267,Sat Feb 03 09:11:35 +0000 2018,0.126,0.629,0.245,235
-0.4939,Sat Feb 03 09:11:27 +0000 2018,0.237,0.645,0.118,236
0.2411,Sat Feb 03 09:11:03 +0000 2018,0.127,0.634,0.238,237
0.2411,Sat Feb 03 09:11:03 +0000 2018,0.127,0.634,0.238,238
-0.1027,Sat Feb 03 09:10:50 +0000 2018,0.062,0.938,0.0,239
0.296,Sat Feb 03 09:10:49 +0000 2018,0.094,0.769,0.136,240
0.0,Sat Feb 03 09:10:36 +0000 2018,0.0,1.0,0.0,241
0.296,Sat Feb 03 09:09:41 +0000 2018,0.094,0.769,0.136,242
0.4199,Sat Feb 03 09:09:39 +0000 2018,0.0,0.642,0.358,243
0.7003,Sat Feb 03 09:09:35 +0000 2018,0.138,0.577,0.285,244
-0.5209,Sat Feb 03 09:09:32 +0000 2018,0.133,0.867,0.0,245
0.3182,Sat Feb 03 09:09:25 +0000 2018,0.0,0.753,0.247,246
-0.4767,Sat Feb 03 09:09:24 +0000 2018,0.129,0.871,0.0,247
0.296,Sat Feb 03 09:09:12 +0000 2018,0.094,0.769,0.136,248
-0.296,Sat Feb 03 09:09:07 +0000 2018,0.095,0.905,0.0,249
0.5719,Sat Feb 03 09:08:54 +0000 2018,0.0,0.778,0.222,250
0.2732,Sat Feb 03 09:08:50 +0000 2018,0.0,0.704,0.296,251
-0.6249,Sat Feb 03 09:08:41 +0000 2018,0.219,0.707,0.074,252
0.5093,Sat Feb 03 09:08:41 +0000 2018,0.0,0.798,0.202,253
0.2732,Sat Feb 03 09:08:16 +0000 2018,0.0,0.87,0.13,254
0.296,Sat Feb 03 09:08:14 +0000 2018,0.094,0.769,0.136,255
0.0,Sat Feb 03 09:08:14 +0000 2018,0.0,1.0,0.0,256
0.34,Sat Feb 03 09:08:08 +0000 2018,0.0,0.902,0.098,257
0.0,Sat Feb 03 09:08:07 +0000 2018,0.0,1.0,0.0,258
0.8356,Sat Feb 03 09:07:58 +0000 2018,0.0,0.529,0.471,259
0.296,Sat Feb 03 09:07:50 +0000 2018,0.094,0.769,0.136,260
-0.4466,Sat Feb 03 09:07:47 +0000 2018,0.134,0.866,0.0,261
-0.471,Sat Feb 03 09:07:30 +0000 2018,0.334,0.479,0.187,262
-0.2732,Sat Feb 03 09:07:19 +0000 2018,0.104,0.896,0.0,263
0.296,Sat Feb 03 09:06:57 +0000 2018,0.094,0.769,0.136,264
0.1779,Sat Feb 03 09:06:53 +0000 2018,0.088,0.793,0.119,265
0.0,Sat Feb 03 09:06:51 +0000 2018,0.0,1.0,0.0,266
0.5267,Sat Feb 03 09:06:47 +0000 2018,0.126,0.629,0.245,267
-0.1779,Sat Feb 03 09:06:46 +0000 2018,0.219,0.647,0.134,268
-0.3612,Sat Feb 03 09:06:44 +0000 2018,0.2,0.8,0.0,269
0.296,Sat Feb 03 09:06:38 +0000 2018,0.094,0.769,0.136,270
0.5267,Sat Feb 03 09:06:29 +0000 2018,0.126,0.629,0.245,271
0.296,Sat Feb 03 09:05:29 +0000 2018,0.094,0.769,0.136,272
0.0,Sat Feb 03 09:04:46 +0000 2018,0.0,1.0,0.0,273
-0.7269,Sat Feb 03 09:04:46 +0000 2018,0.276,0.724,0.0,274
-0.7351,Sat Feb 03 09:04:45 +0000 2018,0.246,0.754,0.0,275
0.296,Sat Feb 03 09:04:41 +0000 2018,0.094,0.769,0.136,276
0.0,Sat Feb 03 09:04:09 +0000 2018,0.0,1.0,0.0,277
0.296,Sat Feb 03 09:03:58 +0000 2018,0.094,0.769,0.136,278
-0.128,Sat Feb 03 09:03:21 +0000 2018,0.124,0.772,0.104,279
-0.296,Sat Feb 03 09:03:12 +0000 2018,0.095,0.905,0.0,280
0.0,Sat Feb 03 09:03:02 +0000 2018,0.0,1.0,0.0,281
0.296,Sat Feb 03 09:02:58 +0000 2018,0.094,0.769,0.136,282
-0.25,Sat Feb 03 09:02:41 +0000 2018,0.083,0.917,0.0,283
-0.128,Sat Feb 03 09:01:44 +0000 2018,0.124,0.772,0.104,284
-0.3612,Sat Feb 03 09:01:42 +0000 2018,0.226,0.774,0.0,285
