Compound,Date,Negative,Neutral,Positive,Tweets Ago
0.0,Sat Feb 03 08:57:42 +0000 2018,0.0,1.0,0.0,233
0.4497,Sat Feb 03 08:57:41 +0000 2018,0.0,0.871,0.129,234
-0.926,Sat Feb 03 08:57:40 +0000 2018,0.342,0.658,0.0,235
0.4019,Sat Feb 03 08:57:40 +0000 2018,0.13,0.632,0.237,236
-0.3182,Sat Feb 03 08:57:37 +0000 2018,0.084,0.916,0.0,237
0.0,Sat Feb 03 08:57:37 +0000 2018,0.0,1.0,0.0,238
-0.4767,Sat Feb 03 08:57:35 +0000 2018,0.154,0.846,0.0,239
0.0,Sat Feb 03 08:57:27 +0000 2018,0.0,1.0,0.0,240
0.0,Sat Feb 03 08:57:24 +0000 2018,0.0,1.0,0.0,241
0.0,Sat Feb 03 08:57:24 +0000 2018,0.0,1.0,0.0,242
0.0,Sat Feb 03 08:57:22 +0000 2018,0.083,0.833,0.083,243
0.2381,Sat Feb 03 08:57:21 +0000 2018,0.079,0.794,0.127,244
0.0,Sat Feb 03 08:57:21 +0000 2018,0.0,1.0,0.0,245
0.0,Sat Feb 03 08:57:21 +0000 2018,0.0,1.0,0.0,246
-0.4215,Sat Feb 03 08:57:19 +0000 2018,0.149,0.764,0.087,247
0.6908,Sat Feb 03 08:57:16 +0000 2018,0.0,0.725,0.275,248
-0.2588,Sat Feb 03 08:57:10 +0000 2018,0.194,0.641,0.165,249
0.5473,Sat Feb 03 08:57:08 +0000 2018,0.0,0.828,0.172,250
0.4019,Sat Feb 03 08:57:08 +0000 2018,0.0,0.903,0.097,251
-0.9195,Sat Feb 03 08:57:07 +0000 2018,0.521,0.479,0.0,252
0.0,Sat Feb 03 08:57:06 +0000 2018,0.0,1.0,0.0,253
-0.2263,Sat Feb 03 08:57:04 +0000 2018,0.091,0.909,0.0,254
-0.8689,Sat Feb 03 08:57:03 +0000 2018,0.366,0.634,0.0,255
-0.6249,Sat Feb 03 08:57:03 +0000 2018,0.141,0.859,0.0,256
0.5423,Sat Feb 03 08:57:00 +0000 2018,0.0,0.837,0.163,257
