Compound,Date,Negative,Neutral,Positive,Tweets Ago
0.4767,Sat Feb 03 08:58:03 +0000 2018,0.0,0.853,0.147,131
0.0,Sat Feb 03 08:58:01 +0000 2018,0.0,1.0,0.0,132
0.4019,Sat Feb 03 08:58:00 +0000 2018,0.0,0.891,0.109,133
0.0,Sat Feb 03 08:57:59 +0000 2018,0.0,1.0,0.0,134
0.4199,Sat Feb 03 08:57:58 +0000 2018,0.0,0.887,0.113,135
-0.3818,Sat Feb 03 08:57:57 +0000 2018,0.245,0.755,0.0,136
-0.516,Sat Feb 03 08:57:54 +0000 2018,0.235,0.669,0.096,137
0.0,Sat Feb 03 08:57:53 +0000 2018,0.0,1.0,0.0,138
0.8122,Sat Feb 03 08:57:52 +0000 2018,0.0,0.638,0.362,139
0.0,Sat Feb 03 08:57:51 +0000 2018,0.0,1.0,0.0,140
0.6295,Sat Feb 03 08:57:50 +0000 2018,0.129,0.597,0.274,141
0.0,Sat Feb 03 08:57:50 +0000 2018,0.0,1.0,0.0,142
-0.4588,Sat Feb 03 08:57:49 +0000 2018,0.239,0.652,0.109,143
0.4215,Sat Feb 03 08:57:49 +0000 2018,0.078,0.745,0.177,144
0.0,Sat Feb 03 08:57:48 +0000 2018,0.0,1.0,0.0,145
0.0,Sat Feb 03 08:57:47 +0000 2018,0.0,1.0,0.0,146
0.0,Sat Feb 03 08:57:45 +0000 2018,0.0,1.0,0.0,147
0.0,Sat Feb 03 08:57:45 +0000 2018,0.0,1.0,0.0,148
0.0,Sat Feb 03 08:57:45 +0000 2018,0.0,1.0,0.0,149
0.0,Sat Feb 03 08:57:39 +0000 2018,0.0,1.0,0.0,150
0.0,Sat Feb 03 08:57:38 +0000 2018,0.0,1.0,0.0,151
0.0,Sat Feb 03 08:57:37 +0000 2018,0.0,1.0,0.0,152
-0.3595,Sat Feb 03 08:57:34 +0000 2018,0.293,0.707,0.0,153
0.4767,Sat Feb 03 08:57:33 +0000 2018,0.0,0.866,0.134,154
-0.34,Sat Feb 03 08:57:31 +0000 2018,0.129,0.81,0.062,155
0.0,Sat Feb 03 08:57:31 +0000 2018,0.0,1.0,0.0,156
0.0,Sat Feb 03 08:57:30 +0000 2018,0.0,1.0,0.0,157
0.0,Sat Feb 03 08:57:29 +0000 2018,0.0,1.0,0.0,158
0.0,Sat Feb 03 08:57:25 +0000 2018,0.0,1.0,0.0,159
0.0,Sat Feb 03 08:57:25 +0000 2018,0.0,1.0,0.0,160
-0.8885,Sat Feb 03 08:57:25 +0000 2018,0.368,0.632,0.0,161
0.2023,Sat Feb 03 08:57:23 +0000 2018,0.101,0.758,0.141,162
-0.5719,Sat Feb 03 08:57:23 +0000 2018,0.198,0.802,0.0,163
0.0,Sat Feb 03 08:57:21 +0000 2018,0.0,1.0,0.0,164
0.0,Sat Feb 03 08:57:20 +0000 2018,0.0,1.0,0.0,165
-0.296,Sat Feb 03 08:57:19 +0000 2018,0.282,0.545,0.173,166
0.6597,Sat Feb 03 08:57:18 +0000 2018,0.088,0.625,0.287,167
0.0,Sat Feb 03 08:57:18 +0000 2018,0.0,1.0,0.0,168
0.0,Sat Feb 03 08:57:17 +0000 2018,0.0,1.0,0.0,169
-0.0772,Sat Feb 03 08:57:17 +0000 2018,0.12,0.772,0.108,170
0.0,Sat Feb 03 08:57:13 +0000 2018,0.0,1.0,0.0,171
-0.296,Sat Feb 03 08:57:13 +0000 2018,0.297,0.521,0.182,172
-0.5267,Sat Feb 03 08:57:12 +0000 2018,0.159,0.841,0.0,173
0.2681,Sat Feb 03 08:57:11 +0000 2018,0.052,0.85,0.098,174
0.0,Sat Feb 03 08:57:11 +0000 2018,0.0,1.0,0.0,175
0.5994,Sat Feb 03 08:57:09 +0000 2018,0.0,0.782,0.218,176
0.0,Sat Feb 03 08:57:09 +0000 2018,0.0,1.0,0.0,177
0.8582,Sat Feb 03 08:57:08 +0000 2018,0.0,0.613,0.387,178
0.0,Sat Feb 03 08:57:04 +0000 2018,0.0,1.0,0.0,179
-0.3802,Sat Feb 03 08:57:04 +0000 2018,0.12,0.88,0.0,180
0.2263,Sat Feb 03 08:57:03 +0000 2018,0.0,0.913,0.087,181
0.0,Sat Feb 03 08:57:03 +0000 2018,0.0,1.0,0.0,182
0.0,Sat Feb 03 08:57:02 +0000 2018,0.0,1.0,0.0,183
0.0,Sat Feb 03 08:57:01 +0000 2018,0.0,1.0,0.0,184
0.0,Sat Feb 03 08:57:01 +0000 2018,0.0,1.0,0.0,185
0.4404,Sat Feb 03 08:57:01 +0000 2018,0.0,0.805,0.195,186
0.0,Sat Feb 03 08:56:57 +0000 2018,0.0,1.0,0.0,187
0.0,Sat Feb 03 08:56:57 +0000 2018,0.0,1.0,0.0,188
0.3818,Sat Feb 03 08:56:55 +0000 2018,0.0,0.874,0.126,189
0.0,Sat Feb 03 08:56:55 +0000 2018,0.0,1.0,0.0,190
0.0,Sat Feb 03 08:56:55 +0000 2018,0.0,1.0,0.0,191
-0.5719,Sat Feb 03 08:56:48 +0000 2018,0.198,0.802,0.0,192
0.0,Sat Feb 03 08:56:48 +0000 2018,0.0,1.0,0.0,193
0.0772,Sat Feb 03 08:56:48 +0000 2018,0.086,0.816,0.098,194
-0.296,Sat Feb 03 08:56:47 +0000 2018,0.095,0.905,0.0,195
0.0,Sat Feb 03 08:56:47 +0000 2018,0.0,1.0,0.0,196
-0.0516,Sat Feb 03 08:56:46 +0000 2018,0.148,0.714,0.138,197
-0.7555,Sat Feb 03 08:56:46 +0000 2018,0.276,0.724,0.0,198
-0.128,Sat Feb 03 08:56:44 +0000 2018,0.193,0.642,0.166,199
0.3182,Sat Feb 03 08:56:43 +0000 2018,0.0,0.897,0.103,200
0.0,Sat Feb 03 08:58:55 +0000 2018,0.0,1.0,0.0,201
0.0,Sat Feb 03 08:58:55 +0000 2018,0.0,1.0,0.0,202
-0.3818,Sat Feb 03 08:58:53 +0000 2018,0.191,0.809,0.0,203
-0.296,Sat Feb 03 08:58:52 +0000 2018,0.297,0.521,0.182,204
0.0,Sat Feb 03 08:58:52 +0000 2018,0.0,1.0,0.0,205
0.0,Sat Feb 03 08:58:48 +0000 2018,0.0,1.0,0.0,206
0.0,Sat Feb 03 08:58:46 +0000 2018,0.0,1.0,0.0,207
0.0,Sat Feb 03 08:58:39 +0000 2018,0.0,1.0,0.0,208
0.0,Sat Feb 03 08:58:36 +0000 2018,0.0,1.0,0.0,209
-0.6488,Sat Feb 03 08:58:35 +0000 2018,0.202,0.798,0.0,210
-0.6671,Sat Feb 03 08:58:35 +0000 2018,0.199,0.801,0.0,211
-0.5255,Sat Feb 03 08:58:35 +0000 2018,0.404,0.596,0.0,212
-0.34,Sat Feb 03 08:58:35 +0000 2018,0.124,0.876,0.0,213
-0.4767,Sat Feb 03 08:58:34 +0000 2018,0.341,0.659,0.0,214
0.0,Sat Feb 03 08:58:29 +0000 2018,0.0,1.0,0.0,215
-0.5719,Sat Feb 03 08:58:29 +0000 2018,0.198,0.802,0.0,216
0.7783,Sat Feb 03 08:58:27 +0000 2018,0.0,0.673,0.327,217
0.6361,Sat Feb 03 08:58:27 +0000 2018,0.172,0.487,0.341,218
0.0,Sat Feb 03 08:58:26 +0000 2018,0.0,1.0,0.0,219
0.0,Sat Feb 03 08:58:26 +0000 2018,0.0,1.0,0.0,220
0.0,Sat Feb 03 08:58:25 +0000 2018,0.0,1.0,0.0,221
0.2023,Sat Feb 03 08:58:24 +0000 2018,0.092,0.78,0.128,222
0.0,Sat Feb 03 08:58:22 +0000 2018,0.0,1.0,0.0,223
0.0,Sat Feb 03 08:58:20 +0000 2018,0.0,1.0,0.0,224
0.0772,Sat Feb 03 08:58:18 +0000 2018,0.086,0.816,0.098,225
0.0,Sat Feb 03 08:58:18 +0000 2018,0.0,1.0,0.0,226
-0.4939,Sat Feb 03 08:58:17 +0000 2018,0.186,0.814,0.0,227
0.0,Sat Feb 03 08:58:15 +0000 2018,0.0,1.0,0.0,228
-0.5719,Sat Feb 03 08:58:14 +0000 2018,0.198,0.802,0.0,229
0.4199,Sat Feb 03 08:58:12 +0000 2018,0.0,0.859,0.141,230
-0.8016,Sat Feb 03 08:58:07 +0000 2018,0.297,0.703,0.0,231
0.0,Sat Feb 03 08:58:06 +0000 2018,0.0,1.0,0.0,232
0.4767,Sat Feb 03 08:58:03 +0000 2018,0.0,0.853,0.147,233
0.0,Sat Feb 03 08:58:01 +0000 2018,0.0,1.0,0.0,234
0.4019,Sat Feb 03 08:58:00 +0000 2018,0.0,0.891,0.109,235
0.0,Sat Feb 03 08:57:59 +0000 2018,0.0,1.0,0.0,236
0.4199,Sat Feb 03 08:57:58 +0000 2018,0.0,0.887,0.113,237
-0.3818,Sat Feb 03 08:57:57 +0000 2018,0.245,0.755,0.0,238
-0.516,Sat Feb 03 08:57:54 +0000 2018,0.235,0.669,0.096,239
0.0,Sat Feb 03 08:57:53 +0000 2018,0.0,1.0,0.0,240
0.8122,Sat Feb 03 08:57:52 +0000 2018,0.0,0.638,0.362,241
0.0,Sat Feb 03 08:57:51 +0000 2018,0.0,1.0,0.0,242
0.6295,Sat Feb 03 08:57:50 +0000 2018,0.129,0.597,0.274,243
0.0,Sat Feb 03 08:57:50 +0000 2018,0.0,1.0,0.0,244
-0.4588,Sat Feb 03 08:57:49 +0000 2018,0.239,0.652,0.109,245
0.4215,Sat Feb 03 08:57:49 +0000 2018,0.078,0.745,0.177,246
0.0,Sat Feb 03 08:57:48 +0000 2018,0.0,1.0,0.0,247
0.0,Sat Feb 03 08:57:47 +0000 2018,0.0,1.0,0.0,248
0.0,Sat Feb 03 08:57:45 +0000 2018,0.0,1.0,0.0,249
0.0,Sat Feb 03 08:57:45 +0000 2018,0.0,1.0,0.0,250
0.0,Sat Feb 03 08:57:45 +0000 2018,0.0,1.0,0.0,251
0.0,Sat Feb 03 08:57:39 +0000 2018,0.0,1.0,0.0,252
0.0,Sat Feb 03 08:57:38 +0000 2018,0.0,1.0,0.0,253
0.0,Sat Feb 03 08:57:37 +0000 2018,0.0,1.0,0.0,254
-0.3595,Sat Feb 03 08:57:34 +0000 2018,0.293,0.707,0.0,255
0.4767,Sat Feb 03 08:57:33 +0000 2018,0.0,0.866,0.134,256
-0.34,Sat Feb 03 08:57:31 +0000 2018,0.129,0.81,0.062,257
0.0,Sat Feb 03 08:57:31 +0000 2018,0.0,1.0,0.0,258
0.0,Sat Feb 03 08:57:30 +0000 2018,0.0,1.0,0.0,259
0.0,Sat Feb 03 08:57:29 +0000 2018,0.0,1.0,0.0,260
0.0,Sat Feb 03 08:57:25 +0000 2018,0.0,1.0,0.0,261
0.0,Sat Feb 03 08:57:25 +0000 2018,0.0,1.0,0.0,262
-0.8885,Sat Feb 03 08:57:25 +0000 2018,0.368,0.632,0.0,263
0.2023,Sat Feb 03 08:57:23 +0000 2018,0.101,0.758,0.141,264
-0.5719,Sat Feb 03 08:57:23 +0000 2018,0.198,0.802,0.0,265
0.0,Sat Feb 03 08:57:21 +0000 2018,0.0,1.0,0.0,266
0.0,Sat Feb 03 08:57:20 +0000 2018,0.0,1.0,0.0,267
-0.296,Sat Feb 03 08:57:19 +0000 2018,0.282,0.545,0.173,268
0.6597,Sat Feb 03 08:57:18 +0000 2018,0.088,0.625,0.287,269
0.0,Sat Feb 03 08:57:18 +0000 2018,0.0,1.0,0.0,270
0.0,Sat Feb 03 08:57:17 +0000 2018,0.0,1.0,0.0,271
-0.0772,Sat Feb 03 08:57:17 +0000 2018,0.12,0.772,0.108,272
0.0,Sat Feb 03 08:57:13 +0000 2018,0.0,1.0,0.0,273
-0.296,Sat Feb 03 08:57:13 +0000 2018,0.297,0.521,0.182,274
-0.5267,Sat Feb 03 08:57:12 +0000 2018,0.159,0.841,0.0,275
0.2681,Sat Feb 03 08:57:11 +0000 2018,0.052,0.85,0.098,276
