Compound,Date,Negative,Neutral,Positive,Tweets Ago
-0.296,Sat Feb 03 08:56:53 +0000 2018,0.128,0.872,0.0,124
-0.5574,Sat Feb 03 08:56:38 +0000 2018,0.159,0.841,0.0,125
0.0772,Sat Feb 03 08:56:38 +0000 2018,0.0,0.915,0.085,126
-0.3818,Sat Feb 03 08:56:22 +0000 2018,0.098,0.902,0.0,127
-0.296,Sat Feb 03 08:56:16 +0000 2018,0.078,0.922,0.0,128
-0.3612,Sat Feb 03 08:56:03 +0000 2018,0.213,0.627,0.16,129
-0.8155,Sat Feb 03 08:56:01 +0000 2018,0.332,0.668,0.0,130
0.0,Sat Feb 03 08:56:00 +0000 2018,0.0,1.0,0.0,131
0.0,Sat Feb 03 08:55:58 +0000 2018,0.0,1.0,0.0,132
0.0,Sat Feb 03 08:55:57 +0000 2018,0.0,1.0,0.0,133
-0.2732,Sat Feb 03 08:55:50 +0000 2018,0.259,0.741,0.0,134
0.4404,Sat Feb 03 08:55:45 +0000 2018,0.0,0.805,0.195,135
-0.4404,Sat Feb 03 08:55:43 +0000 2018,0.209,0.791,0.0,136
0.636,Sat Feb 03 08:55:39 +0000 2018,0.0,0.417,0.583,137
0.0258,Sat Feb 03 08:55:35 +0000 2018,0.127,0.742,0.131,138
-0.6908,Sat Feb 03 08:55:29 +0000 2018,0.235,0.684,0.081,139
0.0,Sat Feb 03 08:55:20 +0000 2018,0.0,1.0,0.0,140
-0.296,Sat Feb 03 08:55:17 +0000 2018,0.078,0.922,0.0,141
0.0,Sat Feb 03 08:55:17 +0000 2018,0.0,1.0,0.0,142
0.0,Sat Feb 03 08:55:15 +0000 2018,0.0,1.0,0.0,143
0.0,Sat Feb 03 08:55:10 +0000 2018,0.0,1.0,0.0,144
0.0,Sat Feb 03 08:55:08 +0000 2018,0.0,1.0,0.0,145
0.0,Sat Feb 03 08:54:56 +0000 2018,0.0,1.0,0.0,146
0.4939,Sat Feb 03 08:54:34 +0000 2018,0.0,0.652,0.348,147
0.3818,Sat Feb 03 08:54:23 +0000 2018,0.0,0.89,0.11,148
-0.6369,Sat Feb 03 08:54:23 +0000 2018,0.372,0.479,0.149,149
-0.7003,Sat Feb 03 08:54:21 +0000 2018,0.225,0.775,0.0,150
0.0,Sat Feb 03 08:54:21 +0000 2018,0.0,1.0,0.0,151
-0.1779,Sat Feb 03 08:54:21 +0000 2018,0.257,0.585,0.158,152
0.228,Sat Feb 03 08:54:15 +0000 2018,0.158,0.594,0.248,153
